brand;name;product_type;shade;price;old_price;url;image_url;r;g;b;hex
AGE 20s;Silky Fixing Pact;Матовая тональная основа-кушон для лица SPF 50+ с рефилом;;2058;2287;https://goldapple.ru/19000420274-silky-fixing-pact;https://pcdn.goldapple.ru/p/p/19000420274/web/746f6e655f64363063623531633462353934323031383038666565303366633532323062618de282ac6eda431.jpg;233;212;193;#e9d4c1
AGE 20s;Silky Fixing Pact;Матовая тональная основа-кушон для лица SPF 50+ с рефилом;;2058;2287;https://goldapple.ru/19000420274-silky-fixing-pact;https://pcdn.goldapple.ru/p/p/19000420273/web/746f6e655f31653734623661396634643234323061393539313238613266386266663435628de282aa60c99a7.jpg;243;225;211;#f3e1d3
Layla Cosmetics;FONDOCIPRIA;Матовая тональная основа;;1375;2501;https://goldapple.ru/19000211502-fondocipria;https://pcdn.goldapple.ru/p/p/19000211502/web/746f6e658ddc55ceeacd595.jpg;219;179;143;#dbb38f
Layla Cosmetics;FONDOCIPRIA;Матовая тональная основа;;1375;2501;https://goldapple.ru/19000211502-fondocipria;https://pcdn.goldapple.ru/p/p/19000211500/web/746f6e658ddc55cee466257.jpg;224;190;163;#e0bea3
Layla Cosmetics;FONDOCIPRIA;Матовая тональная основа;;1375;2501;https://goldapple.ru/19000211502-fondocipria;https://pcdn.goldapple.ru/p/p/19000211501/web/746f6e658ddc55cee6bf5ed.jpg;217;184;149;#d9b895
ORJENA;Comfort Air Fit;BB-крем для лица;;1846;2840;https://goldapple.ru/19000061532-comfort-air-fit-bb-cream;https://pcdn.goldapple.ru/p/p/19000061532/web/746f6e658ddc4d11accefbc.jpg;215;178;134;#d7b286
ORJENA;Comfort Air Fit;BB-крем для лица;;1846;2840;https://goldapple.ru/19000061532-comfort-air-fit-bb-cream;https://pcdn.goldapple.ru/p/p/19000061533/web/746f6e658ddc4d132ef4684.jpg;209;164;122;#d1a47a
ORJENA;Comfort Air Fit;BB-крем для лица;;1846;2840;https://goldapple.ru/19000061532-comfort-air-fit-bb-cream;https://pcdn.goldapple.ru/p/p/19000284885/web/746f6e658ddc5a249b64d2c.jpg;224;193;172;#e0c1ac
Max Factor;Miracle pure skin-improving 24h;Тональная основа для лица SPF 30;;1054;1485;https://goldapple.ru/19000034048-miracle-pure;https://pcdn.goldapple.ru/p/p/19000034048/web/746f6e658ddc4aa2f963dd1.jpg;231;208;166;#e7d0a6
Max Factor;Miracle pure skin-improving 24h;Тональная основа для лица SPF 30;;1054;1485;https://goldapple.ru/19000034048-miracle-pure;https://pcdn.goldapple.ru/p/p/19000034046/web/746f6e658ddc4aa220f3b6e.jpg;242;212;178;#f2d4b2
Max Factor;Miracle pure skin-improving 24h;Тональная основа для лица SPF 30;;1054;1485;https://goldapple.ru/19000034048-miracle-pure;https://pcdn.goldapple.ru/p/p/19000034047/web/746f6e658ddc4aa221b12a7.jpg;212;163;123;#d4a37b
LUXVISAGE;Aqua veil hyaluron complex;Тональный крем-флюид для лица;;408;609;https://goldapple.ru/19000398640-aqua-veil-hyaluron-complex;https://pcdn.goldapple.ru/p/p/19000398640/web/746f6e658ddc5d10f9e8c91.jpg;245;208;166;#f5d0a6
LUXVISAGE;Aqua veil hyaluron complex;Тональный крем-флюид для лица;;408;609;https://goldapple.ru/19000398640-aqua-veil-hyaluron-complex;https://pcdn.goldapple.ru/p/p/19000398638/web/746f6e658ddc5d10e5909bb.jpg;234;200;163;#eac8a3
LUXVISAGE;Aqua veil hyaluron complex;Тональный крем-флюид для лица;;408;609;https://goldapple.ru/19000398640-aqua-veil-hyaluron-complex;https://pcdn.goldapple.ru/p/p/19000398639/web/746f6e658ddc5d10fb0a4a4.jpg;225;185;134;#e1b986
SHIKstudio;Perfect liquid foundation;Тональный крем для лица;;1701;2100;https://goldapple.ru/19000145949-perfect-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000145949/web/746f6e658ddc528060e71aa.jpg;234;187;143;#eabb8f
SHIKstudio;Perfect liquid foundation;Тональный крем для лица;;1701;2100;https://goldapple.ru/19000145949-perfect-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000058255/web/746f6e658ddc4cacf7a1a8c.jpg;243;200;155;#f3c89b
